N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
108,삼성엔지니어링,"11,000",0,0.00%,"5,000","21,560","196,000",29.11,0,8.34,24.62,
109,현대해상,"23,850",0,0.00%,500,"21,322","89,400",40.76,0,7.01,6.23,
110,GS건설,"26,450",0,0.00%,"5,000","21,186","80,098",27.56,0,5.55,11.79,
111,키움증권,"95,500",0,0.00%,"5,000","21,123","22,119",24.91,0,6.40,16.97,
112,KODEX 레버리지,"14,910",0,0.00%,0,"21,083","141,400",2.06,0,N/A,N/A,
113,KODEX 단기채권,"102,520",0,0.00%,0,"20,785","20,274",2.94,0,N/A,N/A,
114,오뚜기,"562,000",0,0.00%,"5,000","20,637","3,672",17.13,0,16.05,7.79,
115,현대차우,"81,100",0,0.00%,"5,000","19,753","24,357",54.79,0,11.69,N/A,
116,팬오션,"3,600",0,0.00%,"1,000","19,244","534,569",11.86,0,13.04,5.49,
117,일진머티리얼즈,"41,050",0,0.00%,500,"18,928","46,111",8.54,0,37.15,8.52,
118,한화,"25,150",0,0.00%,"5,000","18,852","74,959",19.08,0,13.17,2.09,
119,두산인프라코어,"8,570",0,0.00%,"5,000","18,277","213,265",3.49,0,13.00,11.59,
120,농심,"299,000",0,0.00%,"5,000","18,187","6,083",19.38,0,14.88,3.72,
121,종근당,"166,500",0,0.00%,"2,500","18,125","10,886",13.76,0,23.88,11.94,
122,포스코인터내셔널,"14,600",0,0.00%,"5,000","18,013","123,375",15.95,0,10.05,7.06,
123,LS,"55,700",0,0.00%,"5,000","17,935","32,200",11.60,0,-41.23,0.80,
124,BNK금융지주,"5,460",0,0.00%,"5,000","17,796","325,935",46.42,0,3.41,7.07,
125,현대로템,"16,100",0,0.00%,"5,000","17,572","109,142",3.41,0,-4.83,-37.93,
126,부광약품,"26,700",0,0.00%,500,"17,312","64,838",6.35,0,620.93,-2.00,
127,씨에스윈드,"99,100",0,0.00%,500,"17,130","17,286",8.74,0,40.56,9.92,
